GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookShopOnline25,laptop.model.user,TempUser.RuoliT,33,0,0,0,6,0,1,0,1,0
BookShopOnline25,laptop.model.user,User,147,14,5,2,39,5,21,4,17,3
BookShopOnline25,laptop.model.user,User.Ruoli,33,0,0,0,6,0,1,0,1,0
BookShopOnline25,laptop.model.user,TempUser,100,0,5,0,31,0,22,0,18,0
BookShopOnline25,laptop.database.negozio,NegozioDao,143,0,10,0,43,0,10,0,5,0
BookShopOnline25,laptop.database.negozio,MemoriaNegozio,214,0,12,0,44,0,13,0,7,0
BookShopOnline25,laptop.database.negozio,PersistenzaNegozio,15,0,0,0,6,0,5,0,5,0
BookShopOnline25,laptop.database.negozio,CsvNegozio,238,0,18,0,48,0,15,0,6,0
BookShopOnline25,laptop.database.cartacredito,PersistenzaCC,23,0,2,0,8,0,5,0,4,0
BookShopOnline25,laptop.database.cartacredito,MemoriaCartaCredito,275,0,22,0,56,0,15,0,4,0
BookShopOnline25,laptop.database.cartacredito,CsvCartaCredito,219,0,16,0,46,0,13,0,5,0
BookShopOnline25,laptop.database.cartacredito,CartaCreditoDao,123,0,4,0,32,0,5,0,3,0
BookShopOnline25,laptop.controller.secondouclogin,ControllerRegistraUtente,243,0,30,0,48,0,27,0,11,0
BookShopOnline25,laptop.controller.secondouclogin,ControllerAdmin,138,0,12,0,30,0,10,0,3,0
BookShopOnline25,laptop.controller.secondouclogin,ControllerAggiornaPassword,106,0,10,0,19,0,10,0,4,0
BookShopOnline25,laptop.controller.secondouclogin,ControllerLogin,324,0,31,0,67,0,23,0,3,0
BookShopOnline25,laptop.controller.terzoucgestioneprofilooggetto,ControllerGestioneUtente,271,0,20,0,48,0,18,0,5,0
BookShopOnline25,laptop.controller.terzoucgestioneprofilooggetto,ControllerGestione,825,0,56,0,139,0,49,0,10,0
BookShopOnline25,laptop.controller.terzoucgestioneprofilooggetto,ControllerReport,231,0,20,0,44,0,21,0,6,0
